,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
61,humans,,,,,,,,kusanagi,,,,,,,,,,,,fantasyland,,,,,,,,,,,wellington,blackbeard,,,,,,,,,,,,obi,,,,,,,,,,,,,,,,,reaping,,schrodinger,,,,,,,,marcel,,,,,,,,
62,medical,,,,,,,,banyan,,,,,,,,,,,,merch,,,,,,,,,,,zabej,boar,,,,,,,,,,,,penumbra,,,,,,,,,,,,,,,,,raiment,,dinshaw,,,,,,,,roi,,,,,,,,
63,education,,,,,,,,hycop,,,,,,,,,,,,shareholders,,,,,,,,,,,palmtop,helpers,,,,,,,,,,,,committing,,,,,,,,,,,,,,,,,berns,,silkwood,,,,,,,,cryptarch,,,,,,,,
64,crime,,,,,,,,,,,,,,,,,,,,leota,,,,,,,,,,,surur,piglet,,,,,,,,,,,,commit,,,,,,,,,,,,,,,,,flores,,clooney,,,,,,,,gilbertine,,,,,,,,
65,punishment,,,,,,,,,,,,,,,,,,,,bitchunry,,,,,,,,,,,yasmina,farrow,,,,,,,,,,,,empathize,,,,,,,,,,,,,,,,,austin,,awakened,,,,,,,,,,,,,,,,
66,counseling,,,,,,,,,,,,,,,,,,,,trickery,,,,,,,,,,,hanratty,piglets,,,,,,,,,,,,virgin,,,,,,,,,,,,,,,,,conway,,headmount,,,,,,,,,,,,,,,,
67,advice,,,,,,,,,,,,,,,,,,,,suneep,,,,,,,,,,,euston,sows,,,,,,,,,,,,sibelius,,,,,,,,,,,,,,,,,hearse,,aiesi,,,,,,,,,,,,,,,,
68,handled,,,,,,,,,,,,,,,,,,,,reviews,,,,,,,,,,,,boars,,,,,,,,,,,,onethirteen,,,,,,,,,,,,,,,,,,,rana,,,,,,,,,,,,,,,,
69,us,,,,,,,,,,,,,,,,,,,,telepresence,,,,,,,,,,,,bryophyta,,,,,,,,,,,,spaceport,,,,,,,,,,,,,,,,,,,copperthwait,,,,,,,,,,,,,,,,
70,environmental,,,,,,,,,,,,,,,,,,,,rigs,,,,,,,,,,,,jimadam,,,,,,,,,,,,shuttle,,,,,,,,,,,,,,,,,,,loophead,,,,,,,,,,,,,,,,
